                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.1129,                 1.4863,                 1.4785,                 1.2015,                 1.7082,                  1.484,                0.70715,                0.60214,                0.67861,                0.47726,                 1.0538,                 1.1075,                 1.4051,                 1.1194,                 1.2307,                 1.4232,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.1044,                 1.4813,                 1.4691,                 1.1904,                 1.7061,                 1.4685,                0.70253,                 0.6125,                0.68582,                0.48262,                 1.0487,                 1.1012,                 1.3982,                 1.1072,                 1.2284,                 1.4136,               0.009208,               0.009208,               0.009208
                     43,                 1.1038,                  1.478,                 1.4675,                  1.193,                 1.7047,                 1.4696,                0.70886,                0.60489,                0.68581,                0.48343,                 1.0452,                 1.0948,                 1.3947,                 1.1053,                 1.2213,                 1.4114,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.1022,                 1.4623,                  1.465,                  1.194,                 1.6885,                 1.4673,                0.72354,                0.60377,                0.69041,                0.48927,                 1.0408,                 1.0832,                 1.3896,                 1.1012,                 1.2141,                 1.4056,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.1011,                  1.455,                 1.4612,                 1.1901,                 1.6829,                 1.4653,                0.70271,                 0.6199,                0.69265,                0.49154,                 1.0389,                 1.0772,                 1.3865,                 1.0989,                  1.205,                 1.4029,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.0996,                 1.4482,                 1.4623,                 1.1911,                 1.6697,                 1.4633,                 0.6982,                0.63056,                0.69554,                0.49448,                 1.0367,                 1.0714,                 1.3842,                 1.0981,                 1.1999,                 1.4011,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.0895,                 1.4365,                 1.4538,                 1.1806,                  1.657,                 1.4564,                 0.7171,                0.61963,                 0.6987,                0.49755,                 1.0345,                 1.0657,                 1.3834,                 1.0949,                 1.1927,                 1.3964,               0.009109,               0.009109,               0.009109
                     48,                 1.0901,                 1.4341,                 1.4572,                 1.1826,                 1.6511,                 1.4613,                  0.722,                0.62119,                0.69995,                0.49979,                 1.0309,                 1.0615,                 1.3804,                 1.0906,                 1.1902,                 1.3939,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.0892,                 1.4209,                 1.4535,                 1.1848,                 1.6376,                 1.4585,                0.70651,                0.63201,                0.70232,                0.50293,                 1.0279,                 1.0554,                 1.3761,                 1.0898,                 1.1802,                 1.3919,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.0866,                 1.4164,                 1.4499,                 1.1802,                 1.6348,                 1.4588,                0.72298,                0.62086,                 0.7048,                0.50444,                 1.0249,                 1.0526,                 1.3726,                 1.0892,                  1.175,                 1.3904,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.0867,                 1.4178,                 1.4438,                 1.1813,                 1.6421,                 1.4497,                0.72506,                0.63027,                0.70846,                0.50664,                 1.0226,                 1.0471,                 1.3697,                 1.0854,                 1.1735,                  1.386,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.0753,                 1.3995,                 1.4375,                 1.1662,                 1.6156,                 1.4455,                0.72086,                0.63628,                0.71106,                0.50953,                 1.0194,                 1.0435,                 1.3656,                 1.0821,                 1.1709,                  1.382,                0.00901,                0.00901,                0.00901
                     53,                 1.0765,                 1.4076,                 1.4413,                 1.1676,                 1.6236,                 1.4482,                0.71828,                0.64036,                 0.7134,                0.51084,                 1.0175,                 1.0408,                 1.3626,                 1.0817,                 1.1612,                 1.3809,                0.00901,                0.00901,                0.00901
                     54,                 1.0838,                 1.4462,                 1.4476,                 1.1753,                 1.6693,                 1.4543,                0.72249,                0.63748,                0.71478,                0.51241,                 1.0156,                 1.0385,                 1.3603,                 1.0796,                 1.1573,                 1.3785,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.0856,                 1.4342,                 1.4461,                 1.1775,                 1.6532,                 1.4527,                0.72222,                0.64037,                0.71526,                0.51441,                 1.0138,                 1.0354,                 1.3581,                 1.0764,                 1.1545,                 1.3757,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.0775,                 1.4191,                 1.4396,                 1.1724,                 1.6388,                 1.4474,                0.72634,                0.63563,                0.71572,                0.51432,                 1.0135,                  1.035,                 1.3576,                 1.0735,                 1.1577,                  1.374,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.0777,                 1.4197,                 1.4432,                 1.1686,                 1.6386,                 1.4481,                0.72652,                0.63845,                0.71803,                0.51604,                 1.0119,                  1.034,                 1.3564,                  1.072,                  1.155,                  1.372,               0.008911,               0.008911,               0.008911
                     58,                 1.0708,                 1.4089,                 1.4377,                 1.1677,                 1.6267,                  1.444,                0.72754,                0.63546,                0.71908,                0.51599,                 1.0108,                 1.0319,                  1.355,                  1.073,                 1.1514,                 1.3703,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.0691,                 1.3973,                 1.4311,                 1.1613,                 1.6218,                 1.4353,                0.74594,                0.62835,                0.72065,                0.51734,                 1.0091,                 1.0297,                 1.3534,                 1.0717,                 1.1487,                 1.3694,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.0714,                 1.4033,                  1.432,                 1.1657,                 1.6234,                 1.4408,                0.73937,                0.63353,                0.72232,                0.51875,                 1.0079,                 1.0262,                 1.3518,                 1.0712,                 1.1454,                 1.3691,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.0701,                 1.3901,                 1.4346,                  1.164,                 1.6081,                 1.4417,                0.73349,                0.64161,                0.72379,                 0.5195,                 1.0071,                 1.0237,                 1.3507,                 1.0698,                 1.1423,                 1.3687,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.0705,                 1.3961,                 1.4309,                 1.1679,                 1.6134,                 1.4418,                0.74591,                0.63544,                0.72458,                0.52047,                 1.0051,                 1.0215,                 1.3484,                 1.0686,                 1.1384,                 1.3668,               0.008812,               0.008812,               0.008812
                     63,                 1.0634,                 1.3876,                  1.428,                 1.1586,                 1.6085,                 1.4364,                0.73214,                0.64275,                0.72501,                0.52135,                 1.0036,                 1.0185,                 1.3473,                 1.0666,                 1.1354,                  1.365,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.0643,                 1.3759,                  1.425,                 1.1571,                 1.5948,                 1.4331,                0.73215,                0.64596,                0.72663,                0.52281,                 1.0026,                 1.0157,                 1.3458,                 1.0658,                 1.1334,                 1.3635,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.0637,                 1.3708,                 1.4225,                 1.1633,                  1.582,                 1.4331,                0.73818,                0.64434,                0.72749,                0.52452,                 1.0014,                 1.0134,                 1.3447,                 1.0653,                 1.1299,                 1.3627,              0.0087526,              0.0087526,              0.0087526
