                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                 1.0019,                 1.0238,                  1.121,                 1.1704,                 1.3209,                 1.1253,                0.89706,                0.80389,                0.88581,                0.63066,                 24.097,                0.42109,                 21.686,                0.04881,                 13.277,                 2.8256,                 1.7381,                 2.7757,                 2.9017,                 2.5224,                 2.4954,             0.00093317,             0.00093317,             0.00093317
                     30,                 1.0129,                 1.0278,                 1.1286,                 1.1824,                 1.3212,                 1.1294,                0.89007,                0.80556,                0.88306,                0.62481,                 24.782,                0.42224,                   21.7,                0.04884,                  13.29,                  2.821,                 1.7429,                  2.767,                 2.9061,                 2.5556,                 2.4893,              0.0009307,              0.0009307,              0.0009307
                     31,                0.99711,                 1.0172,                  1.119,                 1.1652,                  1.306,                 1.1226,                0.88749,                0.81106,                0.88657,                 0.6279,                 25.404,                0.42328,                   21.7,                0.04884,                 13.269,                 2.8146,                 1.7406,                 2.7596,                 2.9003,                 2.4971,                 2.4844,             0.00092822,             0.00092822,             0.00092822
                     32,                 1.0091,                 1.0311,                 1.1264,                 1.1775,                 1.3178,                   1.13,                0.87843,                0.81954,                0.88474,                0.62609,                     26,                0.42411,                 21.701,                0.04884,                 13.259,                 2.8072,                 1.7311,                 2.7628,                 2.8944,                  2.511,                 2.4893,             0.00092575,             0.00092575,             0.00092575
                     33,                0.99843,                 1.0152,                 1.1237,                 1.1671,                 1.2981,                 1.1259,                0.87761,                0.81334,                0.88201,                0.62376,                 26.725,                0.42487,                 21.708,                0.04885,                 13.264,                  2.809,                 1.7152,                 2.7574,                 2.8965,                  2.491,                  2.489,             0.00092327,             0.00092327,             0.00092327
                     34,                0.99646,                 1.0119,                 1.1192,                 1.1658,                 1.2954,                 1.1213,                0.89146,                0.79628,                0.88373,                0.62659,                  27.45,                0.42658,                 21.708,                0.04885,                 13.289,                 2.8137,                 1.7295,                 2.7757,                 2.8978,                 2.5172,                 2.5091,              0.0009208,              0.0009208,              0.0009208
                     35,                0.99674,                 1.0091,                 1.1217,                 1.1681,                 1.2946,                 1.1251,                0.88468,                0.81069,                0.88422,                0.62732,                 28.009,                0.42778,                 21.729,                0.04889,                  13.32,                 2.8105,                 1.7434,                 2.8114,                 2.9012,                 2.5057,                 2.5314,             0.00091833,             0.00091833,             0.00091833
                     36,                 1.0112,                 1.0174,                 1.1259,                 1.1858,                 1.3197,                 1.1281,                0.89096,                0.80995,                0.88381,                0.62906,                 28.664,                0.42899,                 21.732,                 0.0489,                 13.293,                 2.8131,                 1.7211,                 2.7809,                 2.8913,                 2.4865,                 2.4979,             0.00091585,             0.00091585,             0.00091585
                     37,                 0.9957,                0.99079,                 1.1215,                 1.1657,                 1.2735,                 1.1234,                0.87355,                0.81009,                0.88087,                0.62445,                  29.27,                0.42993,                 21.716,                0.04886,                 13.304,                 2.8054,                 1.7389,                 2.7793,                 2.8957,                 2.5192,                 2.5067,             0.00091337,             0.00091337,             0.00091337
                     38,                0.99895,                 1.0011,                 1.1194,                 1.1665,                  1.289,                 1.1209,                0.89291,                0.80192,                0.88456,                0.62827,                 29.851,                0.43039,                 21.711,                0.04885,                 13.306,                 2.8086,                 1.7164,                 2.7915,                 2.8938,                 2.4782,                 2.5205,              0.0009109,              0.0009109,              0.0009109
                     39,                0.99397,                 1.0086,                  1.121,                 1.1688,                 1.3052,                 1.1239,                0.89169,                0.80505,                0.88144,                0.62479,                 30.415,                0.43099,                  21.71,                0.04884,                 13.299,                 2.8121,                 1.7056,                 2.7882,                 2.8959,                 2.4765,                 2.5115,             0.00090842,             0.00090842,             0.00090842
                     40,                0.99582,                 1.0096,                 1.1198,                 1.1664,                 1.2978,                 1.1205,                 0.8887,                0.80694,                0.88249,                0.62479,                 31.058,                 0.4313,                 21.715,                0.04885,                 13.286,                 2.8096,                  1.707,                 2.7714,                 2.8923,                 2.5231,                   2.49,             0.00090595,             0.00090595,             0.00090595
                     41,                0.99821,                 1.0023,                 1.1202,                  1.164,                 1.2963,                 1.1203,                0.88259,                0.80523,                0.87871,                0.62224,                 31.611,                0.43218,                 21.706,                0.04883,                 13.288,                 2.8168,                 1.7381,                 2.7796,                 2.9057,                 2.5146,                 2.5087,             0.00090347,             0.00090347,             0.00090347
                     42,                 1.0031,                0.99966,                 1.1211,                 1.1776,                 1.2885,                 1.1229,                0.88867,                0.80559,                0.88319,                0.62736,                 32.113,                0.43264,                 21.713,                0.04885,                 13.289,                 2.8136,                 1.7138,                  2.782,                 2.8942,                 2.5044,                 2.4967,               0.000901,               0.000901,               0.000901
                     43,                0.99601,                 1.0028,                 1.1193,                 1.1659,                 1.3036,                 1.1204,                0.88761,                0.80974,                0.88502,                0.62774,                 32.698,                0.43378,                 21.714,                0.04885,                 13.276,                 2.8108,                 1.6956,                 2.7711,                 2.8908,                 2.4782,                 2.4736,             0.00089853,             0.00089853,             0.00089853
                     44,                0.99958,                 1.0039,                 1.1196,                 1.1634,                 1.2958,                 1.1208,                0.88702,                0.80846,                0.88619,                0.62512,                 33.392,                0.43502,                 21.717,                0.04885,                 13.297,                 2.8078,                 1.7255,                 2.7517,                 2.8862,                 2.5041,                  2.479,             0.00089605,             0.00089605,             0.00089605
                     45,                0.99055,                0.98459,                 1.1144,                 1.1621,                 1.2747,                 1.1157,                0.88554,                0.80913,                0.88277,                 0.6259,                 34.036,                0.43627,                 21.723,                0.04886,                  13.31,                 2.8148,                 1.7133,                 2.7795,                 2.8965,                 2.5125,                 2.4897,             0.00089358,             0.00089358,             0.00089358
                     46,                0.98619,                0.98342,                  1.115,                 1.1555,                 1.2671,                 1.1187,                0.88303,                0.81612,                0.88521,                0.62979,                 34.593,                0.43786,                 21.735,                0.04888,                 13.326,                 2.8185,                 1.7243,                 2.7776,                 2.9013,                 2.5191,                 2.5009,              0.0008911,              0.0008911,              0.0008911
                     47,                0.98563,                0.99543,                  1.118,                 1.1521,                 1.2778,                  1.122,                0.88538,                0.81334,                0.88504,                0.62788,                 35.102,                 0.4388,                 21.748,                0.04891,                 13.337,                 2.8136,                 1.7368,                 2.7791,                 2.8975,                 2.5115,                 2.5002,             0.00088862,             0.00088862,             0.00088862
